PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 13.8 uM,Standard Deviation,Inhibition at 13.8 uM [1],Inhibition at 13.8 uM [2],Inhibition at 13.8 uM [3]
RESULT_TYPE,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,Normalized percent inhibition of the confirmation screen at a compound concentration of 13.8 micromolar.,Standard deviation derived from the normalized percent inhibition of the triplicate data for each compound,Percent inhibition of the confirmation screen at a compound concentration of 13.8 micromolar.,Percent inhibition of the confirmation screen at a compound concentration of 13.8 micromolar.,Percent inhibition of the confirmation screen at a compound concentration of 13.8 micromolar.
RESULT_UNIT,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
534,24789032,711175,Active,36,,,53.82,2.76114,50.0666,56.623,54.7827
535,24789380,681388,Inactive,13,,,19.81,2.44477,20.5482,16.5158,22.3662
536,24789738,5438298,Active,67,,,99.06,2.16324,97.9389,102.089,97.1609
537,24789898,744304,Active,70,,,103.96,1.73932,103.472,106.289,102.112
538,24790271,981111,Active,25,,,37.88,2.01593,35.0267,39.2499,39.3544
539,24790512,720633,Active,20,,,30.78,1.4215,29.4242,32.7466,30.1829
540,24790799,991251,Active,52,,,77.41,3.28372,76.7729,81.7088,73.7408
541,24790815,1435001,Active,78,,,116.28,1.47422,115.28,115.2,118.367
542,24791026,1176167,Active,30,,,44.73,3.40511,46.0198,40.0726,48.1108
543,24791173,1315623,Inactive,16,,,23.69,1.99983,21.1843,26.0785,23.8101
544,24791360,4554055,Active,26,,,38.61,2.5565,35.0326,40.8435,39.9592
545,24791434,944832,Active,89,,,131.47,0.294496,131.874,131.378,131.172
546,24791608,1991728,Active,37,,,55.54,0.939862,54.2248,56.0388,56.3594
547,24791625,945564,Active,27,,,39.79,0.972603,40.668,40.2778,38.4375
548,24791834,4466069,Inactive,12,,,18.79,1.55025,17.1568,18.336,20.8724
549,24791958,16189691,Inactive,12,,,18.55,2.89405,16.982,22.6104,16.0638
550,24792927,9587840,Active,56,,,83.76,1.43298,83.4667,82.1756,85.6478
551,24793858,2054005,Inactive,5,,,8.26,1.97728,5.58714,10.3131,8.86791
552,24794088,2960665,Inactive,0,,,-10.59,1.65964,-12.0279,-8.26719,-11.4846
553,24794454,9587839,Active,53,,,78.21,2.8244,74.8604,77.9881,81.7685
554,24794568,972552,Inactive,4,,,6.06,2.00648,3.22936,7.2644,7.67706
555,24794897,2980985,Active,48,,,70.87,2.23248,67.845,71.619,73.1591
556,24794928,2237594,Active,54,,,79.8,0.583152,80.1898,78.975,80.2331
557,24795740,2431901,Inactive,5,,,7.75,1.20235,9.05616,6.15305,8.03402
558,24796288,2980954,Inactive,14,,,21.92,2.52735,18.6147,24.7484,22.4075
559,24796295,1817440,Active,83,,,123.74,1.91187,126.305,123.194,121.719
560,24796307,1090053,Active,20,,,30.34,1.88297,32.919,28.4777,29.6207
561,24796494,2849732,Inactive,14,,,20.94,2.68461,24.6191,18.2963,19.8927
562,24796569,1428869,Active,25,,,38.05,0.588751,37.8429,37.4571,38.8534
563,24796585,1442565,Active,60,,,88.92,0.960628,88.6028,90.2279,87.9416
564,24796620,1442567,Active,59,,,87.48,2.16972,88.233,84.5259,89.6776
565,24797016,1442473,Active,39,,,58.26,1.01483,59.2035,58.7255,56.8519
566,24797095,3221518,Active,27,,,40.68,1.91451,43.18,40.3265,38.5303
567,24797109,857460,Active,23,,,35.2,2.09528,32.3138,37.2268,36.0558
568,24797182,1632391,Active,57,,,85.18,4.26062,90.2942,85.383,79.8637
569,24797189,1442564,Active,61,,,91.08,0.831849,91.2745,91.9878,89.9782
570,24797245,16189758,Active,30,,,44.31,0.925994,43.2956,45.5327,44.0898
571,24797498,6467850,Inactive,11,,,16.51,2.56155,13.4203,19.6927,16.4177
572,24797629,1234393,Active,80,,,119.13,0.750674,118.339,118.913,120.139
573,24798035,16189928,Inactive,15,,,23.19,2.56133,20.7875,26.7397,22.0459
574,24798543,16190214,Active,23,,,34.34,1.66797,35.1786,35.8317,32.0124
575,24799423,16191094,Active,27,,,40.49,0.390126,39.9521,40.6766,40.854
576,24799473,16191144,Active,17,,,25.8,2.49333,22.5734,28.6426,26.1986
577,24800276,16191945,Active,22,,,33.82,2.65182,35.3497,36.0146,30.0864
578,24800915,3129248,Active,20,,,30.72,1.02785,29.2694,31.4412,31.4584
579,24801121,2876872,Active,17,,,26.04,0.596371,25.533,26.8762,25.7074
580,24801518,746456,Active,36,,,53.28,2.23757,56.4112,51.3151,52.1159
581,24801734,626459,Inactive,0,,,-2.16,1.00081,-0.887511,-3.33369,-2.2499
582,24801834,2939635,Active,51,,,75.51,1.75345,75.221,77.7806,73.5138
583,24802279,711468,Active,28,,,42.49,4.22018,46.5936,44.1911,36.6851
584,24802328,1164628,Inactive,11,,,16.94,1.5167,16.5199,18.9721,15.329
585,24803279,3126862,Inactive,1,,,1.65,1.20828,3.2907,1.22854,0.42103
586,24803318,16192614,Active,30,,,44.91,1.57618,44.0645,47.1183,43.5456
587,24803660,1450077,Inactive,10,,,15.91,1.53834,17.5604,13.8558,16.305
588,24803802,725168,Active,59,,,88.13,2.2556,86.9217,91.2953,86.1846
589,24803877,856427,Active,45,,,66.99,1.19876,65.6833,68.5798,66.7143
590,24803932,1435045,Active,54,,,80.87,0.589035,80.5153,81.6962,80.3878
591,24804108,992642,Inactive,11,,,17.6,1.27624,19.2211,17.4782,16.1021
592,24804254,701939,Active,33,,,50.08,2.82946,46.6041,50.108,53.5346
593,24804265,3207945,Active,72,,,107.37,2.40444,109.253,103.975,108.877
594,24804590,10864994,Active,38,,,56.17,2.13241,54.1791,55.2138,59.1303
595,24805162,737004,Active,41,,,60.75,1.76398,62.3833,61.5637,58.2995
596,24805212,5344617,Inactive,0,,,-0.52,1.88344,-2.59379,1.96462,-0.930003
597,24805492,5759184,Inactive,0,,,1.11,0.939284,-0.185969,1.52654,2.00093
598,24805732,540833,Active,38,,,56.49,4.86909,56.5013,62.441,50.5142
599,24805766,1457962,Active,25,,,36.86,3.01777,38.5851,32.6155,39.3757
600,24806386,1261892,Active,32,,,47.6,1.6835,46.3395,46.4785,49.9783
601,24806804,777799,Inactive,11,,,17.45,1.89658,15.8425,16.3988,20.115
602,24807031,2908640,Active,29,,,43.25,1.03888,41.7762,43.9863,43.9737
603,24807288,1442861,Active,70,,,103.7,2.76016,102.166,101.367,107.58
604,24807475,54704915,Active,26,,,38.72,2.51951,38.3422,35.8403,41.977
605,24807847,865071,Active,76,,,112.78,1.35962,114.14,110.923,113.279
606,24807988,1088432,Inactive,0,,,-3.46,1.7626,-2.37822,-2.06014,-5.94805
607,24808858,3161521,Inactive,14,,,21.25,1.8652,23.5544,18.9864,21.1969
608,24808904,3221482,Active,40,,,59.09,1.27955,59.9855,59.9956,57.2762
609,24808911,1442627,Active,78,,,115.37,1.74949,114.19,114.085,117.848
610,24809040,3161426,Inactive,5,,,8.47,1.89108,8.05431,6.38219,10.9594
611,24810108,773605,Inactive,13,,,19.89,3.34556,17.7545,24.6168,17.3064
612,24810303,6244612,Active,28,,,42.43,0.557864,43.2147,42.0927,41.9782
613,24811397,2846928,Active,33,,,49.4,0.522111,48.7552,49.4167,50.0338
614,24811944,16193470,Active,18,,,27.74,1.85784,29.7327,28.2267,25.2607
615,24812480,16193668,Inactive,4,,,6.68,0.288117,6.37765,7.06798,6.59583
616,24812872,6861939,Inactive,2,,,3.75,0.567536,3.53407,4.52998,3.19205
617,24813330,16012428,Inactive,7,,,11.61,2.98774,15.1324,7.82866,11.8813
618,24813421,4917226,Active,19,,,28.46,1.7393,26.0164,29.9503,29.3999
619,24813501,6619148,Inactive,4,,,6.31,0.459952,6.0179,5.95933,6.963
620,24813686,1176113,Active,44,,,64.95,1.67579,66.7469,62.7133,65.3894
621,24813889,3635365,Active,48,,,72.19,0.397114,71.8753,72.7464,71.936
622,24814515,4039611,Active,26,,,39.41,1.17926,38.6061,41.075,38.542
623,24815018,5294687,Active,22,,,33.83,2.25878,33.9435,31.0067,36.536
624,24815064,4200910,Inactive,13,,,19.62,4.85506,15.1762,17.3123,26.3759
625,24815115,4061336,Inactive,0,,,0.58,4.19188,4.26922,2.74347,-5.28726
626,24815600,7217786,Active,59,,,87.58,2.92106,91.6086,84.7769,86.3509
627,24815689,1473387,Inactive,10,,,15.7,1.87468,13.0775,16.693,17.3371
628,24815723,16194724,Inactive,9,,,13.34,3.39009,8.70638,14.6126,16.7146
629,24816036,2151994,Inactive,12,,,18.26,1.26526,18.6656,16.5476,19.5661
630,24816193,7502637,Active,25,,,37.97,0.835828,37.9073,36.9788,39.0233
631,24816279,4583869,Inactive,1,,,1.51,2.17379,-0.729372,4.45278,0.801959
632,24816797,3334665,Inactive,5,,,8.32,3.21502,12.8628,6.08382,6.00226
633,24816858,4252030,Inactive,4,,,6.65,0.508397,6.1664,6.4397,7.35523
634,24816895,4606089,Inactive,0,,,-1.71,0.912046,-2.61641,-2.04085,-0.459197
635,24816897,5064384,Active,33,,,49.13,1.2612,47.7347,50.7906,48.8705
636,24816902,3267796,Inactive,5,,,7.95,1.55207,7.16224,6.56412,10.1146
637,24816904,5079117,Inactive,3,,,4.62,1.34596,5.47387,5.65976,2.71615
638,24816910,4085830,Active,19,,,29.28,1.05088,28.8949,30.7145,28.2279
639,24816915,4278748,Inactive,6,,,8.88,1.48939,9.37797,6.86022,10.4056
640,24817212,2768758,Inactive,10,,,15.47,3.17617,19.8948,12.594,13.9164
641,24817466,1487013,Inactive,0,,,-3.56,1.17868,-3.36695,-5.09584,-2.22889
642,24817508,1482554,Active,31,,,45.68,0.0291662,45.7219,45.6811,45.6508
643,24817612,1474141,Active,18,,,27.32,1.31362,25.7834,28.9921,27.1804
644,24817712,3167727,Active,73,,,108.6,1.1885,107.267,108.382,110.154
645,24817794,1477955,Active,35,,,51.86,1.13552,53.4593,51.2294,50.9046
646,24817911,2859351,Active,56,,,83.33,3.76454,80.4938,80.8559,88.6545
647,24818213,1480667,Active,24,,,35.54,3.02321,31.3571,38.4035,36.8526
648,24818320,1473211,Inactive,15,,,23.53,1.61721,22.1966,22.5802,25.8029
649,24818687,3771946,Inactive,12,,,18.29,0.866409,18.5262,17.1372,19.2214
650,24818849,203396,Active,54,,,80.19,6.76607,79.5445,72.2493,88.7847
651,24818854,1442821,Active,63,,,93.32,1.15636,94.1146,91.6852,94.1613
652,24819564,2764158,Active,56,,,83.16,0.647597,84.0626,82.5595,82.872
653,24820427,1505718,Active,17,,,25.08,2.144,23.0218,28.0372,24.1805
654,24820536,1503147,Active,17,,,25.76,1.04834,24.6314,27.1564,25.4892
655,24820674,2766929,Active,47,,,69.95,4.56036,72.2596,63.575,74.0016
656,24820768,2766814,Active,40,,,59.82,1.08458,59.0095,61.3501,59.0913
657,24820893,16195178,Active,69,,,102.21,3.85308,107.618,98.9536,100.045
658,24821163,3777559,Inactive,2,,,3.83,1.3181,2.04208,4.28188,5.17585
659,24821827,16413681,Active,30,,,44.97,1.34464,44.1646,46.8688,43.8883
660,24822284,5875537,Inactive,3,,,4.96,1.22913,3.77046,4.45067,6.65052
661,24822428,3231721,Active,19,,,29.4,2.28764,31.4506,26.2088,30.545
662,24822715,6220215,Inactive,10,,,15.78,1.97931,12.9884,17.0537,17.309
663,24822731,5048043,Active,54,,,80.62,0.887429,79.3741,81.384,81.096
664,24822866,3276373,Inactive,0,,,-3.5,0.904818,-4.77359,-2.73557,-3.00028
665,24822918,9678687,Inactive,15,,,23.12,3.69868,17.9744,26.4953,24.9006
666,24823143,1271299,Inactive,0,,,0.2,2.9036,2.56011,-3.8875,1.93637
667,24823713,4601866,Active,25,,,36.97,1.8408,34.387,37.963,38.5536
668,24824133,6604199,Active,66,,,97.7,1.18085,97.1781,99.3406,96.5958
669,24824151,2728075,Inactive,3,,,4.89,3.02945,0.717411,7.82614,6.11532
670,24824350,1484169,Active,31,,,46.22,1.99906,48.3579,43.55,46.7578
671,24824588,3787753,Active,27,,,41.08,0.36259,40.8999,40.7604,41.5897
672,24825077,2114665,Active,30,,,44.62,2.08526,47.4852,42.5935,43.7664
673,24825332,2468931,Active,20,,,30.12,1.11248,30.4529,28.625,31.2892
674,24825465,2056025,Inactive,14,,,21.4,2.84008,20.0398,25.352,18.8057
675,24825784,2472728,Active,51,,,76.53,3.60564,73.9888,73.9631,81.6246
676,24825965,2547406,Active,23,,,34.51,0.996008,33.1256,35.4339,34.9636
677,24827134,2460882,Inactive,12,,,18.61,2.20336,15.5694,20.7319,19.5139
678,24827184,5135882,Active,58,,,86.55,1.27091,87.1145,84.7902,87.7458
679,24827549,2409129,Inactive,14,,,20.84,1.23419,19.8096,20.1392,22.5769
680,24828241,2381436,Inactive,13,,,19.7,0.760451,18.8344,19.5714,20.6844
681,24828373,16196049,Active,28,,,41.52,1.69145,39.4846,41.4547,43.6262
682,24828578,5151092,Active,23,,,35.14,4.6591,28.6609,37.3674,39.4039
683,24828588,2352763,Active,35,,,51.7,2.33799,49.1319,54.7879,51.182
684,24829077,3511804,Active,31,,,46.68,1.4534,47.1623,48.1768,44.7142
685,24829419,2330064,Active,27,,,40.75,2.84584,42.5542,42.9708,36.7363
686,24829585,16196163,Active,33,,,49.65,0.314556,49.8904,49.2082,49.8594
687,24829617,2394340,Active,33,,,48.81,0.079286,48.7201,48.8086,48.9141
688,24829884,2334933,Active,53,,,79.29,1.27976,77.6244,80.7349,79.5169
689,24830536,2519741,Active,21,,,31.27,0.575218,30.5202,31.9168,31.3796
690,24830837,2515908,Active,17,,,25.45,1.36919,24.472,24.4885,27.3847
691,24831029,2552154,Active,39,,,57.5,3.06433,53.5185,60.9745,57.9954
692,24831914,2084877,Active,25,,,37.05,2.1025,34.0835,38.6782,38.3954
693,24832144,2444453,Active,41,,,60.99,1.44652,58.9556,62.1748,61.8471
694,24832459,3778243,Active,29,,,44.06,1.40593,45.5,44.5327,42.154
695,24832572,16239028,Inactive,2,,,2.96,1.60791,1.63937,2.02042,5.22479
696,24832983,16196386,Inactive,5,,,7.44,1.22641,5.71791,8.13974,8.46812
697,24833557,16196483,Inactive,16,,,23.94,0.904602,24.5635,22.6606,24.5953
698,24833661,4804178,Inactive,8,,,12.5,0.142863,12.2936,12.5953,12.5979
699,24833932,6362905,Active,64,,,95.52,2.03718,97.2505,96.6563,92.6626
700,24833934,2371304,Active,50,,,73.7,1.11381,75.0454,72.3176,73.7276
701,24834026,2384232,Active,81,,,120.63,3.16622,125.077,117.987,118.811
702,24834040,2371073,Active,34,,,50.19,1.10267,48.9476,50.0071,51.629
703,24834296,2415319,Active,42,,,63.26,4.95702,66.9972,66.5217,56.2521
704,24834341,6153294,Active,28,,,42.56,2.95257,41.0497,39.9426,46.6857
705,24834346,4465171,Active,49,,,73.27,0.671228,72.3585,73.5132,73.9495
706,24834447,2569144,Active,24,,,36.13,0.834442,36.5497,34.9601,36.8677
707,24834829,2100449,Inactive,2,,,3.04,1.4242,2.57748,1.5745,4.96962
708,24835136,2472289,Active,16,,,24.66,0.988552,24.1298,26.0439,23.8025
709,24835472,6072154,Inactive,15,,,23.2,1.3771,23.8945,24.4257,21.2753
710,24835572,3317655,Inactive,15,,,23.31,1.45863,25.1367,21.5666,23.2301
711,24836046,5198374,Active,44,,,65.58,2.80004,66.4622,68.4766,61.7916
712,24836350,4648816,Active,62,,,92.1,0.807742,91.2731,91.8337,93.1967
713,24836377,2377168,Active,30,,,45.25,2.64666,42.333,44.6732,48.7389
714,24836566,2460114,Inactive,8,,,12.41,0.691515,12.7327,11.4548,13.0567
715,24836855,4449541,Inactive,4,,,6.06,1.90605,7.75646,3.40155,7.03663
716,24836892,5863172,Inactive,8,,,12.67,0.845043,13.7076,11.6378,12.651
717,24837215,5680788,Active,39,,,58.88,3.01992,58.1076,62.9007,55.6247
718,24837547,2115997,Inactive,0,,,0.09,0.0319636,0.139051,0.0747325,0.0682288
719,24839741,2997877,Active,34,,,51.44,1.81733,51.6606,49.1138,53.549
720,24840492,2999141,Inactive,6,,,10.14,0.709418,10.9919,10.1828,9.25554
721,24840505,2095289,Active,31,,,46.85,11.244,62.7151,37.9907,39.8433
722,24840645,4043273,Active,20,,,29.58,0.210874,29.7989,29.2954,29.647
723,24840702,661791,Active,27,,,41.09,2.12616,44.0359,39.1081,40.1127
724,24841132,2439237,Active,28,,,41.71,1.20336,40.0097,42.6137,42.5077
725,24841447,10603,Active,37,,,55.49,3.07842,58.9075,56.1259,51.4469
726,24841538,16197033,Active,17,,,25.17,1.78556,26.0994,26.7465,22.6769
727,24841584,16197074,Inactive,4,,,6.37,2.21709,8.17267,3.24751,7.69169
728,24841601,16197089,Active,20,,,30.72,1.46927,32.7435,30.1237,29.2965
729,24841680,16197161,Active,21,,,31.53,0.54009,32.2871,31.0893,31.2017
730,26657516,5008348,Active,50,,,73.93,1.6726,72.0151,76.0898,73.6825
731,26657518,2548636,Active,63,,,93.95,2.03417,91.7605,96.6625,93.4383
732,26657948,4880417,Active,18,,,27.23,0.915326,27.2378,28.3432,26.1012
733,26658605,599963,Inactive,0,,,-0.04,2.99941,1.05862,2.95707,-4.13878
734,26658620,16460826,Inactive,3,,,5.13,0.759349,4.07744,5.83212,5.48917
735,26658671,3279901,Active,38,,,57.33,1.23689,57.6682,58.6554,55.6811
736,26659485,16681839,Active,25,,,38.22,2.75034,36.4695,36.0868,42.1031
737,26660407,6099806,Inactive,6,,,9.69,1.03677,10.7213,10.0775,8.27195
738,26660644,2102943,Active,23,,,34.64,5.5291,42.1928,32.6041,29.1152
739,26660714,2438419,Active,17,,,26.13,1.82968,24.6368,28.7094,25.0528
740,26660762,16682136,Active,26,,,38.47,1.41607,37.4282,37.511,40.4727
741,26660780,2469491,Active,36,,,53.46,1.9128,56.1611,52.2755,51.9509
742,26660927,724891,Active,48,,,71.72,1.93883,72.8785,68.9875,73.2911
743,26661280,16682212,Active,35,,,52.21,1.62113,49.961,52.9256,53.7313
744,26662272,3885831,Active,35,,,52.05,2.97872,50.94,56.1276,49.0903
745,26662580,3363660,Active,67,,,99.35,0.55899,99.8406,98.564,99.6311
746,26662825,16240066,Active,23,,,35.16,2.0819,37.935,32.9169,34.6395
747,26662998,9632671,Active,19,,,29.3,1.13882,29.9439,30.2579,27.7004
748,26664396,31316,Inactive,10,,,15.85,2.27719,13.8301,14.6824,19.0301
749,26664637,265940,Inactive,15,,,22.4,8.25319,16.3304,34.0685,16.8007
750,26664863,289745,Inactive,4,,,6.45,0.900163,6.0158,5.63864,7.70861
751,26665051,353380,Active,43,,,64.17,0.213137,63.9594,64.4642,64.0965
752,26665340,739344,Inactive,10,,,15.23,2.18854,12.1527,17.0224,16.5288
753,26665691,4988615,Inactive,0,,,0.69,1.26147,1.74556,1.40436,-1.08465
754,26665977,6254504,Active,36,,,53.56,4.80054,57.8091,46.8527,56.0282
755,26666180,72512,Active,22,,,33.69,2.90662,35.1983,36.2497,29.6257
756,26666193,98760,Inactive,4,,,6.44,2.01273,9.28454,4.92727,5.1083
757,26666659,2295889,Inactive,0,,,-2.78,0.387304,-2.71067,-3.29079,-2.35064
758,26666751,3580213,Active,25,,,36.97,0.586321,37.7059,36.9422,36.2707
759,26666864,313619,Active,49,,,73,1.55331,71.3426,75.0778,72.5829
760,26667642,647243,Active,40,,,59.17,0.511477,58.5109,59.2343,59.7584
761,26667704,651643,Active,37,,,55.65,1.03699,54.3594,56.8983,55.6957
762,26667862,653209,Inactive,12,,,18.99,0.805472,19.6999,19.4061,17.8633
763,26668375,647382,Inactive,2,,,3.26,1.36645,2.87967,5.08662,1.80384
764,26668456,648313,Active,25,,,38.24,1.52004,36.9572,40.3791,37.3971
765,26668562,646200,Inactive,14,,,20.83,1.67303,18.9875,23.0374,20.4698
766,26669129,646870,Inactive,0,,,-0.58,0.903174,-0.827218,-1.54211,0.628468
767,26669601,9633907,Inactive,4,,,6.12,0.529028,5.45931,6.15831,6.75378
768,26669858,4464849,Inactive,6,,,9.53,1.18891,10.0015,7.89383,10.6881
769,26670065,4880534,Active,29,,,44.19,2.32568,45.2923,40.9497,46.3141
770,26670518,3433386,Active,24,,,35.98,1.52563,35.355,38.0845,34.5092
771,26670770,1901112,Inactive,0,,,-3.23,1.76724,-3.8166,-5.04145,-0.833353
772,26670909,920148,Active,24,,,35.46,0.835614,35.3808,34.4756,36.5181
773,26670929,5187767,Inactive,16,,,24.12,1.67351,26.3961,22.4248,23.5306
774,26671236,1923906,Inactive,14,,,20.83,2.04485,18.3845,23.3896,20.7192
775,26671655,5865031,Inactive,4,,,6.35,1.64687,6.18359,8.44006,4.41594
776,26671658,3699048,Active,30,,,44.35,0.553299,43.5649,44.7762,44.697
777,26724334,16241285,Active,52,,,77.12,0.992612,77.8461,75.7204,77.8053
778,26724335,3616560,Active,37,,,55.3,3.77804,58.6193,57.2581,50.0114
779,26724400,9660957,Active,69,,,102.05,0.151175,102.074,101.849,102.216
780,26724419,2423078,Active,19,,,28.27,0.546301,28.8078,27.5222,28.4864
781,26725087,15571694,Active,67,,,99.13,1.00662,100.461,98.0297,98.8885
782,26725215,442142,Active,70,,,103.76,1.56639,102.364,102.968,105.947
783,26725274,330973,Active,67,,,99.17,1.48452,97.3399,99.1996,100.976
784,26725306,23205,Active,67,,,99.71,0.919869,98.6023,100.855,99.6716
785,26725464,16745686,Active,22,,,33.27,1.14514,32.4929,32.4248,34.8873
786,26725814,54677747,Active,38,,,56.56,1.20993,55.4952,55.9409,58.2555
787,26725839,3714754,Active,36,,,53.33,0.898727,53.3386,52.2301,54.4315
788,26726024,645511,Active,39,,,58.57,1.59864,59.7745,56.3116,59.6264
789,26726780,2810944,Active,16,,,24.98,1.94181,26.7841,25.8727,22.2855
790,26726915,2812808,Inactive,14,,,21.96,2.93594,22.0793,25.4928,18.3043
791,26726931,2810945,Active,18,,,27.05,1.04014,28.5089,26.4486,26.1806
792,26727035,2801236,Inactive,0,,,-4.33,0.141925,-4.52362,-4.1841,-4.28916
793,26727427,2739275,Inactive,9,,,14.15,0.894771,13.1155,15.2996,14.0488
794,26727699,2731360,Inactive,0,,,-1.24,2.21134,-0.252811,-4.30893,0.82816
795,26728035,9583526,Inactive,4,,,6.88,2.87151,5.86033,10.7937,3.98514
796,26728111,16745929,Inactive,0,,,1.37,1.82899,-1.13729,3.17833,2.06218
797,26728524,2808378,Active,73,,,108.96,1.24959,109.967,109.718,107.201
798,26728527,2808307,Active,54,,,80.59,3.73089,85.6941,79.1935,76.881
799,26728682,2812572,Active,29,,,42.85,1.80826,42.7129,40.7146,45.1371
800,26728692,2812574,Active,22,,,33.22,1.8755,30.7408,33.628,35.279
801,26729063,2795741,Active,36,,,53.44,1.43238,54.3042,51.4168,54.5867
802,26729139,2742889,Active,67,,,99.04,1.19872,98.4765,100.703,97.9319
803,26729150,2809268,Active,29,,,42.99,2.04996,45.8834,41.624,41.4507
804,26729555,2820399,Active,32,,,47.75,1.0755,48.1853,48.8022,46.2757
805,26729935,2823604,Active,62,,,91.88,0.0381976,91.8786,91.9256,91.832
806,26730261,2732789,Active,25,,,37.74,0.277754,38.1342,37.5495,37.5405
807,26730275,5883623,Active,26,,,38.35,0.287012,38.3043,38.7178,38.0186
808,26730836,2823077,Inactive,0,,,-24.05,2.73495,-24.5212,-20.4932,-27.1431
809,26731364,2802193,Active,59,,,87.3,0.894193,87.5102,88.2696,86.1107
810,26731531,224672,Active,61,,,90.34,1.49087,90.55,88.4233,92.0577
811,26731577,2739277,Active,21,,,31.86,1.48232,31.6213,33.7891,30.1826
812,26731711,2727374,Active,50,,,74.22,2.89791,78.2824,72.6942,71.6976
813,26731915,16746116,Inactive,13,,,19.81,1.93925,17.1278,21.6496,20.6489
814,26732241,16746405,Active,34,,,50.31,2.35782,52.1058,51.8373,46.9753
815,47193640,2204429,Inactive,14,,,21.21,1.47486,23.1651,19.6051,20.8525
816,47193747,253602,Active,69,,,102.02,0.448881,101.637,101.778,102.652
817,47193750,53313247,Active,16,,,24.81,2.00415,22.0349,25.7126,26.6899
818,47193876,8975,Active,29,,,43.61,1.91047,45.9078,41.2302,43.6899
819,47193881,6245,Active,46,,,68,1.27081,68.9539,68.8496,66.2074
820,47193938,659822,Active,50,,,74.48,2.35437,72.6495,77.8069,72.9932
821,47194071,2835304,Active,63,,,94.1,1.1548,93.7488,92.8956,95.6579
822,47194355,539183,Active,19,,,29.04,2.90805,25.5345,28.9178,32.6548
823,47195018,746070,Active,48,,,70.95,1.36347,72.7347,69.4257,70.6886
824,47195270,899350,Active,68,,,100.21,2.1001,101.988,97.2601,101.38
825,47195594,1037842,Active,34,,,50.37,1.05376,51.1599,51.077,48.8842
826,47195912,11842267,Inactive,3,,,5.21,1.2695,4.26189,6.99999,4.35443
827,47195983,4385781,Active,29,,,43.42,1.51796,45.2617,41.5437,43.4414
828,47196005,1023823,Active,35,,,52.54,1.05356,51.9059,51.6875,54.0236
829,47196339,1355556,Active,28,,,42.55,1.87655,41.3357,41.1151,45.2016
830,47196787,2872439,Active,16,,,24.91,2.69014,21.3013,27.7591,25.6653
831,47196789,2872374,Inactive,7,,,11.17,1.19651,12.777,9.90866,10.8212
832,47196928,2971098,Inactive,13,,,19.48,0.891437,20.666,19.2649,18.5151
833,47197040,2940648,Active,33,,,49.34,3.43068,48.8639,45.4023,53.7645
834,47197708,2917851,Inactive,4,,,6.99,1.24309,5.91269,6.32391,8.73114
835,47198239,2845860,Inactive,0,,,-6.18,1.31785,-4.41027,-6.5463,-7.57429
836,47199144,595142,Active,16,,,24.82,0.83793,23.8107,25.8628,24.8013
837,47199389,2990902,Active,30,,,44.26,10.0542,41.1278,57.836,33.8128
838,47199555,2991892,Inactive,14,,,20.94,1.11242,19.6094,20.8806,22.3323
839,47199578,23723919,Inactive,10,,,14.95,3.10702,12.2139,19.2953,13.3398
840,47199758,6463249,Active,22,,,32.61,3.47299,27.6968,35.0012,35.1254
841,47199863,2977816,Inactive,2,,,3.66,2.50938,3.14078,6.96374,0.883903
842,47200075,6460246,Active,31,,,46.85,1.42977,44.9878,48.4637,47.0968
843,47200250,6472450,Inactive,12,,,18.15,0.321847,17.7164,18.2569,18.4837
844,47200294,6473518,Inactive,13,,,20.28,1.43277,19.7519,22.2354,18.8462
845,47200384,5297899,Active,16,,,24.69,1.76005,24.883,22.45,26.7487
846,47200899,839390,Inactive,5,,,8.44,1.43886,7.38383,10.472,7.45683
847,47200940,2921215,Inactive,16,,,24.35,3.25472,21.0824,23.1669,28.7888
848,47200941,2921404,Active,18,,,27.53,1.75077,29.0522,25.0737,28.4492
849,47200950,739343,Active,26,,,38.74,2.61626,42.4399,36.9446,36.8369
850,47201024,3136122,Inactive,14,,,20.96,0.739455,21.9988,20.5474,20.3347
851,47201838,5331420,Inactive,15,,,22.69,1.67602,24.9524,20.9432,22.1828
852,47202390,6464232,Inactive,4,,,6.65,1.80376,7.44027,4.15093,8.35024
853,47202464,2835302,Active,81,,,120.13,1.59439,118.802,122.373,119.217
854,47203150,676067,Inactive,10,,,15.55,1.0914,16.2111,16.4286,14.0123
855,47203274,3128208,Active,62,,,92.32,0.349065,91.9327,92.7803,92.2592
856,47204609,1101639,Inactive,7,,,11.64,3.18422,8.22264,15.8898,10.8163
857,49640777,6462633,Active,33,,,49.35,2.04742,46.467,50.5094,51.0588
858,49640991,1433977,Inactive,8,,,13,1.86224,13.0033,10.7235,15.285
859,49642342,6498761,Active,23,,,35,2.72095,34.3302,38.6144,32.0508
860,49642368,2871851,Active,23,,,35.2,0.462118,35.8381,35.0269,34.7488
